,eventid,iyear,imonth,iday,crit1,crit2,crit3,city,vicinity,latitude,longitude,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,success,suicide,targtype1,targtype1_txt,corp1,gname,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt,propvalue,ishostkid,nhostkid,ransomamt,ransompaid,nreleased
10,197001130001,1970,1,13.0,1,1,1,Seattle,0,47.603559999999995,-122.329439,7,Facility/Infrastructure Attack,,,,,1,0,1,Business,Fuson's Department Store,Black Nationalists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),17000.0,0.0,,,,
11,197001140001,1970,1,14.0,1,1,1,Champaign,0,40.116748,-88.23926999999999,7,Facility/Infrastructure Attack,,,,,1,0,3,Police,Police Department,Black Nationalists,0,,,0.0,,,0.0,0.0,1.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
12,197001190002,1970,1,19.0,1,1,1,Seattle,0,47.610594,-122.317228,3,Bombing/Explosion,,,,,1,0,8,Educational Institution,Seattle University,Black Nationalists,0,3.0,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),2200.0,0.0,,,,
13,197001190003,1970,1,19.0,1,1,1,Seattle,0,47.655335,-122.30351999999999,3,Bombing/Explosion,,,,,0,0,4,Military,R.O.T.C.,Student Radicals,0,2.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
14,197001190004,1970,1,19.0,1,1,1,Jersey City,0,40.728075,-74.077825,7,Facility/Infrastructure Attack,2.0,Armed Assault,,,1,0,22,Violent Political Party,Black Panther Party,White extremists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
15,197001220002,1970,1,22.0,1,1,1,South Sioux City,0,42.47031,-96.413949,3,Bombing/Explosion,,,,,1,0,14,Private Citizens & Property,Private residence,Strikers,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
16,197001250001,1970,1,25.0,1,1,1,West Point,0,33.60651,-88.650419,7,Facility/Infrastructure Attack,,,,,1,0,14,Private Citizens & Property,Building,White extremists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
17,197001250002,1970,1,25.0,1,1,1,New York City,0,40.78306,-73.971249,2,Armed Assault,,,,,1,0,3,Police,New York Police Department,Black Nationalists,0,,,0.0,,,0.0,0.0,2.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
18,197001260001,1970,1,26.0,1,1,1,West Point,0,33.60651,-88.650419,3,Bombing/Explosion,,,,,1,0,2,Government (General),Courthouse,Black Nationalists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
19,197001260003,1970,1,26.0,1,1,1,New York City,0,40.728224,-73.794852,2,Armed Assault,,,,,1,0,3,Police,New York Police Department,Black Nationalists,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
20,197001270002,1970,1,27.0,1,1,1,Norwalk,0,41.241996,-82.615241,7,Facility/Infrastructure Attack,,,,,1,0,2,Government (General),Selective Service,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),8800.0,0.0,,,,
21,197001280002,1970,1,28.0,1,1,1,Seattle,0,47.603559999999995,-122.329439,3,Bombing/Explosion,,,,,1,0,15,Religious Figures/Institutions,Jewish Synagogue,White extremists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),3000.0,0.0,,,,
22,197001300001,1970,1,30.0,1,1,1,South Sioux City,0,42.479999,-96.413046,3,Bombing/Explosion,,,,,1,0,20,,Unknown building,Strikers,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
23,197001300002,1970,1,30.0,1,1,1,South Sioux City,0,42.46634,-96.41405,3,Bombing/Explosion,,,,,1,0,1,Business,,Strikers,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),2500.0,0.0,,,,
24,197001300003,1970,1,30.0,1,1,1,Coral Gables,0,25.720851,-80.277857,7,Facility/Infrastructure Attack,,,,,1,0,4,Military,Army R.O.T.C.,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
25,197001310002,1970,1,31.0,1,1,1,Denver,0,39.748783,-105.022136,3,Bombing/Explosion,,,,,1,0,3,Police,Denver Police Department,,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
26,197002010001,1970,2,1.0,1,1,1,Portland,0,45.511795,-122.675629,7,Facility/Infrastructure Attack,,,,,1,0,2,Government (General),Selective Service,Left-Wing Militants,0,1.0,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),4189.0,0.0,,,,
27,197002010002,1970,2,1.0,1,1,1,Cairo,0,37.005105,-89.17626899999999,2,Armed Assault,,,,,1,0,3,Police,Illinois State Police,Black Nationalists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
28,197002020001,1970,2,2.0,1,1,1,New York City,0,40.78306,-73.971249,7,Facility/Infrastructure Attack,,,,,0,0,1,Business,Mays Department Store,,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
29,197002030001,1970,2,3.0,1,1,1,New York City,0,40.844782,-73.864827,7,Facility/Infrastructure Attack,,,,,0,0,1,Business,Alexander's Department Store,,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
30,197002030002,1970,2,3.0,1,1,1,New York City,0,40.78306,-73.971249,7,Facility/Infrastructure Attack,,,,,0,0,1,Business,Alexander's Department Store,,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
31,197002040001,1970,2,4.0,1,1,1,Akron,0,41.084195,-81.514059,3,Bombing/Explosion,,,,,1,0,14,Private Citizens & Property,Car,Strikers,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
32,197002060001,1970,2,6.0,1,1,1,Denver,0,39.74001,-104.992259,3,Bombing/Explosion,,,,,1,0,19,Transportation,Transportation of Denver City Schools,Black Nationalists,0,3.0,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),200000.0,0.0,,,,
33,197002060002,1970,2,6.0,1,1,1,Seattle,0,47.608758,-122.329439,3,Bombing/Explosion,,,,,1,0,2,Government (General),White politician who represented a Black constituency,White extremists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),1000.0,0.0,,,,
34,197002060003,1970,2,6.0,1,1,1,Seattle,0,47.603559999999995,-122.329439,3,Bombing/Explosion,,,,,1,0,15,Religious Figures/Institutions,Jewish Synagogue,White extremists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
35,197002060004,1970,2,6.0,1,1,1,Dorado,0,18.460791,-66.264884,7,Facility/Infrastructure Attack,,,,,1,0,2,Government (General),Selective Service,Armed Revolutionary Independence Movement (MIRA),0,,,1.0,1.0,Letter,0.0,0.0,0.0,0.0,,4.0,,,0.0,,,,
36,197002060005,1970,2,6.0,1,1,1,Rio Piedras,0,18.399712,-66.049987,7,Facility/Infrastructure Attack,,,,,1,0,21,Utilities,General Electric,Armed Revolutionary Independence Movement (MIRA),0,,,1.0,1.0,Letter,0.0,0.0,0.0,0.0,,4.0,,,0.0,,,,
37,197002060006,1970,2,6.0,1,1,1,Carolina,0,18.441963,-66.02631600000001,7,Facility/Infrastructure Attack,,,,,1,0,1,Business,Hotel,Armed Revolutionary Independence Movement (MIRA),0,,,1.0,1.0,Letter,0.0,0.0,0.0,0.0,,4.0,,,0.0,,,,
38,197002060007,1970,2,6.0,1,1,1,Boston,0,42.3505,-71.105399,7,Facility/Infrastructure Attack,,,,,1,0,4,Military,R.O.T.C.,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
39,197002070003,1970,2,7.0,1,1,1,Whitewater,0,42.838355,-88.743224,7,Facility/Infrastructure Attack,,,,,1,0,8,Educational Institution,Wisconsin State College,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,2.0,Major (likely > $1 million but < $1 billion),1000000.0,0.0,,,,
40,197002080001,1970,2,8.0,1,1,1,New York City,0,40.751212,-73.903649,3,Bombing/Explosion,,,,,1,0,1,Business,General Electric,Armed Revolutionary Independence Movement (MIRA),0,,,1.0,1.0,Letter,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
41,197002080002,1970,2,8.0,1,1,1,New York City,0,40.678178,-73.944158,3,Bombing/Explosion,,,,,1,0,1,Business,General Electric,Armed Revolutionary Independence Movement (MIRA),0,,,1.0,1.0,Letter,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
42,197002090003,1970,2,9.0,1,1,1,New York City,0,40.78306,-73.971249,3,Bombing/Explosion,,,,,0,0,1,Business,General Electric,Armed Revolutionary Independence Movement (MIRA),0,1.0,1.0,1.0,1.0,Letter,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
43,197002090004,1970,2,9.0,1,1,1,Batavia,0,39.078590000000005,-84.17941400000001,3,Bombing/Explosion,,,,,1,0,14,Private Citizens & Property,Nonunion employee of General Electric in Batavia Ohio,Strikers,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
44,197002110001,1970,2,11.0,1,1,1,Ypsilanti,0,42.263414000000004,-83.66528100000001,7,Facility/Infrastructure Attack,,,,,1,0,8,Educational Institution,Washtenaw Community College,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),2500.0,0.0,,,,
45,197002130001,1970,2,13.0,1,1,1,Berkeley,0,37.869885,-122.27053899999999,3,Bombing/Explosion,,,,,1,0,3,Police,Berkeley Police Department,,0,,,,,,0.0,,7.0,,1.0,3.0,Minor (likely < $1 million),8000.0,0.0,,,,
46,197002130003,1970,2,13.0,1,1,1,Berkeley,0,37.869885,-122.27053899999999,3,Bombing/Explosion,,,,,1,0,3,Police,Police Station,Black Nationalists,0,,,0.0,,,0.0,0.0,7.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
47,197002150001,1970,2,15.0,1,1,1,New York City,0,40.78306,-73.971249,3,Bombing/Explosion,,,,,1,0,1,Business,Chase Manhattan Bank,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
48,197002150002,1970,2,15.0,1,1,1,Eugene,0,44.04483,-123.07260600000001,7,Facility/Infrastructure Attack,,,,,1,0,4,Military,R.O.T.C.,Student Radicals,0,,,0.0,,,0.0,0.0,1.0,0.0,1.0,3.0,Minor (likely < $1 million),350000.0,0.0,,,,
49,197002160001,1970,2,16.0,1,1,1,San Francisco,0,37.777125,-122.41964399999999,3,Bombing/Explosion,,,,,1,0,3,Police,San Francisco Police Department,,0,,,,,,1.0,,0.0,,1.0,3.0,Minor (likely < $1 million),3000.0,0.0,,,,
50,197002160002,1970,2,16.0,1,1,1,Berkeley,0,37.869885,-122.27053899999999,3,Bombing/Explosion,,,,,1,0,1,Business,,,0,,,,,,0.0,,0.0,,0.0,3.0,Minor (likely < $1 million),0.0,0.0,,,,
51,197002160003,1970,2,16.0,1,1,1,Berkeley,0,37.869885,-122.27053899999999,3,Bombing/Explosion,,,,,1,0,1,Business,,,0,,,,,,0.0,,0.0,,0.0,3.0,Minor (likely < $1 million),0.0,0.0,,,,
52,197002160004,1970,2,16.0,1,1,1,San Francisco,0,37.775471,-122.40371699999999,2,Armed Assault,,,,,0,0,3,Police,San Francisco Police Department,Left-Wing Militants,0,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
53,197002170001,1970,2,17.0,1,1,1,Oakland,0,37.805065,-122.27302399999999,3,Bombing/Explosion,,,,,0,0,1,Business,,,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
54,197002170002,1970,2,17.0,1,1,1,Buckeystown,0,39.334825,-77.431653,3,Bombing/Explosion,,,,,1,0,21,Utilities,Power Pole,,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
55,197002170003,1970,2,17.0,1,1,1,Covington,0,30.493919,-90.132512,3,Bombing/Explosion,,,,,1,0,8,Educational Institution,School planned to be integrated,White extremists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
56,197002170004,1970,2,16.0,1,1,1,Seattle,0,47.655335,-122.30351999999999,3,Bombing/Explosion,,,,,0,0,4,Military,Armory,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
57,197002180002,1970,2,18.0,1,1,1,Cleveland,0,41.504365,-81.69045899999999,3,Bombing/Explosion,,,,,1,0,3,Police,Cuyahoga Community College security guard,Black Nationalists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
58,197002180003,1970,2,18.0,1,1,1,Vallejo,0,38.10083,-122.254954,3,Bombing/Explosion,,,,,1,0,3,Police,Mission Vallejo Police Officers,Black Nationalists,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
59,197002200001,1970,2,20.0,1,1,1,Hartford,0,41.763325,-72.67406899999999,7,Facility/Infrastructure Attack,,,,,1,0,2,Government (General),U.S. Courthouse,Left-Wing Militants,0,,,1.0,10.0,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),450.0,0.0,,,,
60,197002200002,1970,2,20.0,1,1,1,New York City,0,40.807026,-73.960349,7,Facility/Infrastructure Attack,,,,,1,0,8,Educational Institution,Columbia University,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
61,197002200003,1970,2,20.0,1,1,1,Seattle,0,47.655335,-122.30351999999999,3,Bombing/Explosion,,,,,1,0,8,Educational Institution,University of Washington,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
62,197002210003,1970,2,21.0,1,1,1,New York City,0,40.733571999999995,-74.002742,7,Facility/Infrastructure Attack,,,,,0,0,3,Police,Police Station,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
63,197002210004,1970,2,21.0,1,1,1,New York City,0,40.678178,-73.944158,7,Facility/Infrastructure Attack,,,,,1,0,4,Military,Military Recruiting Stations,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
64,197002210005,1970,2,21.0,1,1,1,New York City,0,40.78306,-73.971249,3,Bombing/Explosion,,,,,1,0,14,Private Citizens & Property,,"Weather Underground, Weathermen",0,4.0,,1.0,1.0,Letter,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
65,197002210006,1970,2,21.0,1,1,1,Denver,0,39.74001,-104.992259,7,Facility/Infrastructure Attack,,,,,1,0,14,Private Citizens & Property,,Black Nationalists,0,,,0.0,,,0.0,0.0,0.0,0.0,,4.0,,,0.0,,,,
66,197002220001,1970,2,22.0,1,1,1,Ithaca,0,42.455233,-76.475847,7,Facility/Infrastructure Attack,,,,,1,0,8,Educational Institution,"Black Women's Collective, Cornell University",White extremists,0,,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
67,197002220002,1970,2,22.0,1,1,1,Prairie du Sac,0,43.287052,-89.724361,3,Bombing/Explosion,,,,,0,0,21,Utilities,Wisconsin Power and Light Company,New Year's Gang,0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
68,197002230001,1970,2,23.0,1,1,1,South Sioux City,0,42.47031,-96.413949,3,Bombing/Explosion,,,,,1,0,21,Utilities,,Strikers,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
69,197002230002,1970,2,23.0,1,1,1,South Sioux City,0,42.47031,-96.413949,3,Bombing/Explosion,,,,,1,0,21,Utilities,,Strikers,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
70,197002230003,1970,2,23.0,1,1,1,South Sioux City,0,42.47031,-96.413949,3,Bombing/Explosion,,,,,1,0,21,Utilities,,Strikers,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
71,197002230004,1970,2,23.0,1,1,1,South Sioux City,0,42.47031,-96.413949,3,Bombing/Explosion,,,,,1,0,21,Utilities,,Strikers,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
72,197002230005,1970,2,23.0,1,1,1,Tucson,0,32.222232,-110.925752,3,Bombing/Explosion,,,,,1,0,4,Military,Selective Service,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
73,197002240002,1970,2,24.0,1,1,1,Denver,0,39.74001,-104.992259,3,Bombing/Explosion,,,,,1,0,14,Private Citizens & Property,,White extremists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
74,197002240003,1970,2,24.0,1,1,1,Champaign,0,40.101952000000004,-88.227161,7,Facility/Infrastructure Attack,,,,,1,0,4,Military,R.O.T.C.,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),2000.0,0.0,,,,
75,197002270001,1970,2,27.0,1,1,1,Boulder,0,40.007581,-105.265942,3,Bombing/Explosion,,,,,1,0,8,Educational Institution,University of Colorado,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
76,197003010005,1970,3,1.0,1,1,1,Boulder,0,40.007581,-105.265942,3,Bombing/Explosion,,,,,1,0,4,Military,R.O.T.C.,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),2000.0,0.0,,,,
77,197003010006,1970,3,1.0,1,1,1,Colorado Springs,0,38.83345,-104.821814,7,Facility/Infrastructure Attack,,,,,1,0,4,Military,Selective Service,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
78,197003010007,1970,3,1.0,1,1,1,Boulder,0,40.007581,-105.265942,7,Facility/Infrastructure Attack,,,,,1,0,3,Police,University of Colorado Police,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
79,197003010008,1970,3,1.0,1,1,1,Boulder,0,40.014986,-105.270546,3,Bombing/Explosion,,,,,1,0,3,Police,Boulder Police Department,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
80,197003020001,1970,3,2.0,1,1,1,Cleveland,0,41.504365,-81.69045899999999,7,Facility/Infrastructure Attack,,,,,1,0,14,Private Citizens & Property,,Black Nationalists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),200.0,0.0,,,,
81,197003030002,1970,3,3.0,1,1,1,Denver,0,39.751039,-104.93049599999999,3,Bombing/Explosion,,,,,1,0,14,Private Citizens & Property,Foreign Vehicles,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
82,197003030003,1970,3,3.0,1,1,1,Seattle,0,47.655335,-122.30351999999999,3,Bombing/Explosion,,,,,1,0,2,Government (General),Post Office,Student Radicals,0,4.0,4.0,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
83,197003040001,1970,3,4.0,1,1,1,Oakland,0,37.805065,-122.27302399999999,3,Bombing/Explosion,,,,,0,0,4,Military,US Military,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
84,197003040002,1970,3,4.0,1,1,1,Martinez,0,38.019304,-122.13406200000001,3,Bombing/Explosion,,,,,0,0,19,Transportation,Railroad car,,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
85,197003040003,1970,3,4.0,1,1,1,Denver,0,39.735233,-104.98608200000001,3,Bombing/Explosion,,,,,1,0,14,Private Citizens & Property,Foreign Vehicles,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
86,197003050001,1970,3,5.0,1,1,1,Seattle,0,47.603559999999995,-122.329439,3,Bombing/Explosion,,,,,1,0,2,Government (General),Post Office,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
87,197003050002,1970,3,5.0,1,1,1,Denver,0,39.73686,-104.981109,3,Bombing/Explosion,,,,,1,0,14,Private Citizens & Property,Foreign Vehicles,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
88,197003050003,1970,3,5.0,1,1,1,San Juan,0,18.46617,-66.106654,1,Assassination,,,,,1,0,4,Military,US Navy,Armed Commandos of Liberation,0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
89,197003060003,1970,3,6.0,1,1,1,Detroit,0,42.331685,-83.047924,3,Bombing/Explosion,,,,,0,0,3,Police,Detroit Police Department,"Weather Underground, Weathermen",0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
90,197003060004,1970,3,6.0,1,1,1,Detroit,0,42.331685,-83.047924,3,Bombing/Explosion,,,,,0,0,3,Police,Detroit Police Department,"Weather Underground, Weathermen",0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
91,197003090001,1970,3,9.0,1,1,1,Berkeley,0,37.869885,-122.27053899999999,7,Facility/Infrastructure Attack,,,,,1,0,8,Educational Institution,"University of California, Berkeley",,0,,,,,,0.0,,0.0,,1.0,3.0,Minor (likely < $1 million),320000.0,0.0,,,,
92,197003090003,1970,3,9.0,1,1,1,Ashville,0,33.83651,-86.254749,7,Facility/Infrastructure Attack,,,,,1,0,14,Private Citizens & Property,,Ku Klux Klan,0,,,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,
93,197003090004,1970,3,9.0,1,1,1,Bridgeport,0,41.18188,-73.19126899999999,7,Facility/Infrastructure Attack,,,,,1,0,15,Religious Figures/Institutions,African American Church,White extremists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
94,197003090005,1970,3,9.0,1,1,1,Albuquerque,0,35.084319,-106.619781,3,Bombing/Explosion,,,,,0,0,4,Military,R.O.T.C.,White extremists,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
95,197003090006,1970,3,9.0,1,1,1,Bel Air,0,39.538940000000004,-76.348479,3,Bombing/Explosion,,,,,0,0,20,,,Black Nationalists,0,2.0,0.0,0.0,,,2.0,2.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
96,197003100002,1970,3,10.0,1,1,1,Cambridge,0,38.563122,-76.078063,3,Bombing/Explosion,,,,,1,0,2,Government (General),,Left-Wing Militants,0,1.0,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
97,197003100003,1970,3,10.0,1,1,1,San Francisco,0,37.721897,-122.478209,7,Facility/Infrastructure Attack,,,,,0,0,1,Business,,Student Radicals,0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,
